id,name,latitude,longitude,capacity,connector_types,status,source
osm-node-11406900271,Charging station #11406900271,28.6019401,77.2372754,1,Charging station,operational,OpenStreetMap
osm-node-11408768738,Charging station #11408768738,12.9736666,77.5830855,,Charging station,operational,OpenStreetMap
osm-node-11414388215,Charging station #11414388215,28.5508417,77.2343743,,Charging station,operational,OpenStreetMap
osm-node-11414388216,Charging station #11414388216,28.5508303,77.2343614,,Charging station,operational,OpenStreetMap
osm-node-11421789517,Charging station #11421789517,28.6177007,77.28703,,Charging station,operational,OpenStreetMap
osm-node-11421789521,Charging station #11421789521,28.6176864,77.2870367,,Charging station,operational,OpenStreetMap
osm-node-11449177423,Charging station #11449177423,28.6606575,77.1433393,,Charging station,operational,OpenStreetMap
osm-node-11452082417,Charging station #11452082417,18.6347952,73.7990514,,Charging station,operational,OpenStreetMap
osm-node-11454822427,Charging station #11454822427,28.6672518,77.2532299,,Charging station,operational,OpenStreetMap
osm-node-11454822430,Charging station #11454822430,28.6672527,77.2532856,,Charging station,operational,OpenStreetMap
osm-node-11454822431,Charging station #11454822431,28.667252,77.2532583,,Charging station,operational,OpenStreetMap
osm-node-11463172582,Charging station #11463172582,12.9301946,77.6148303,,Charging station,operational,OpenStreetMap
osm-node-11478464616,Charging station #11478464616,28.6229566,77.2989161,,Charging station,operational,OpenStreetMap
osm-node-11505634206,ather,18.0801331,83.3855776,type2,Charging station,operational,OpenStreetMap
osm-node-11536826351,Charging station #11536826351,11.2789059,76.9478415,,DC capable,operational,OpenStreetMap
osm-node-11542817290,Charging station #11542817290,12.9362684,77.6076884,,Charging station,operational,OpenStreetMap
osm-node-11574632419,Ola Hypercharger,10.5352175,76.2156115,2,Charging station,operational,OpenStreetMap
osm-node-11578223404,Zeal Energy Services,18.4600725,73.786174,,Charging station,operational,OpenStreetMap
osm-node-11601441778,Charging station #11601441778,28.6531076,77.1562309,,Charging station,operational,OpenStreetMap
osm-node-11601441779,Switch Station,28.6530158,77.1563495,,Charging station,operational,OpenStreetMap
osm-node-11601441781,Charging station #11601441781,28.6531276,77.1561984,,Charging station,operational,OpenStreetMap
osm-node-11637354348,Charging station #11637354348,28.6338798,77.2175045,,Charging station,operational,OpenStreetMap
osm-node-11642004107,Charging station #11642004107,28.6272979,77.2319249,,Charging station,operational,OpenStreetMap
osm-node-11669054294,KSEB,10.0696976,77.0613927,5,Charging station,operational,OpenStreetMap
osm-node-11697454694,Charging station #11697454694,28.5508115,77.2510865,,Charging station,operational,OpenStreetMap
osm-node-11697454712,Charging station #11697454712,28.5508585,77.2510569,,Charging station,operational,OpenStreetMap
osm-node-11738870963,Charging station #11738870963,17.9053122,83.4066291,,Charging station,operational,OpenStreetMap
osm-node-11748976480,tata power,17.7118163,83.317447,50,Charging station,operational,OpenStreetMap
osm-node-11771960493,Charging station #11771960493,28.5544887,77.195939,,Charging station,operational,OpenStreetMap
osm-node-11795617114,Charging station #11795617114,28.6286105,77.2196866,1,Charging station,operational,OpenStreetMap
osm-node-11818010038,Tata,17.7241475,83.3107145,20,Charging station,operational,OpenStreetMap
osm-node-11818587530,GLIDA Charging Station,13.1831411,77.6760596,15,Charging station,operational,OpenStreetMap
osm-node-11818587531,BluSmart Charging Station,13.1821565,77.6710546,24,Charging station,operational,OpenStreetMap
osm-node-11821495340,Charging station #11821495340,28.6799791,77.2085882,3,Charging station,operational,OpenStreetMap
osm-node-11849592981,ChargeZone,17.6377006,74.0123809,,Charging station,operational,OpenStreetMap
osm-node-11854233582,Gogate Plaza,15.9287213,74.5291412,3,Charging station,operational,OpenStreetMap
osm-node-11864351274,Tata Power TSS Sirsi,14.6243646,74.8415578,4,Charging station,operational,OpenStreetMap
osm-node-11871740090,Charging station #11871740090,28.5649281,77.2245367,,Charging station,operational,OpenStreetMap
osm-node-11873258339,Charging station #11873258339,28.5540272,77.212758,,Charging station,operational,OpenStreetMap
osm-node-11875814624,Ganpati Smart Point,28.6775315,77.2080457,,Charging station,operational,OpenStreetMap
osm-node-11875926233,Charging station #11875926233,28.6219707,77.1948236,4,Charging station,operational,OpenStreetMap
osm-node-11882034350,Charging station #11882034350,28.5416057,77.2328267,,Charging station,operational,OpenStreetMap
osm-node-11882034351,Charging station #11882034351,28.5333783,77.2317719,,Charging station,operational,OpenStreetMap
osm-node-11882034353,Charging station #11882034353,28.541597,77.2328551,,Charging station,operational,OpenStreetMap
osm-node-11891087067,Charging station #11891087067,28.5483295,77.2547433,,Charging station,operational,OpenStreetMap
osm-node-11891087068,Charging station #11891087068,28.5482916,77.2547553,,Charging station,operational,OpenStreetMap
osm-node-11898903434,Charging station #11898903434,30.7448331,76.9033098,,Charging station,operational,OpenStreetMap
osm-node-11902522652,Charging station #11902522652,9.9670832,76.3227725,,Charging station,operational,OpenStreetMap
osm-node-11919269548,Charging station #11919269548,12.5884081,78.1463084,2,Charging station,operational,OpenStreetMap
osm-node-11924865741,Charging station #11924865741,9.2552998,76.8142379,,Charging station,operational,OpenStreetMap
osm-node-11924937497,Charging station #11924937497,9.2644997,76.808217,16kW,Charging station,operational,OpenStreetMap
osm-node-11927677057,Ola Hyper Charger,12.9337755,77.6236693,2,Charging station,operational,OpenStreetMap
osm-node-11927677058,Battery Swap,12.9285835,77.6241904,,Charging station,operational,OpenStreetMap
osm-node-11934109023,Ather Grid,15.2649717,73.9599198,,Charging station,operational,OpenStreetMap
osm-node-11934676233,Charging station #11934676233,28.586642,77.2407912,,Charging station,operational,OpenStreetMap
osm-node-11936564076,Ather Charging Station,12.9311453,77.6238461,,Charging station,operational,OpenStreetMap
